Title,Department,Job_Family,Job_Code,Level,Zone_A_Min_Salary,Zone_A_Mid_Salary,Zone_A_Max_Salary,Zone_B_Min_Salary,Zone_B_Mid_Salary,Zone_B_Max_Salary
"Director, Facilities",G&A,Facilities,JK0263,M3,154000,184800,215600,146300,175560,204820
"Senior Director, Facilities",G&A,Facilities,JK0264,M4,184800,228800,272800,175560,217360,259160
"VP, Facilities",G&A,Facilities,JK0265,E1,228800,290400,352000,217360,275880,334400
Associate Accountant,G&A,Accounting,JK0266,P1,48400,57200,66000,45980,54340,62700
Accountant,G&A,Accounting,JK0267,P2,63360,74800,86240,60192,71060,81928
Senior Accountant,G&A,Accounting,JK0268,P3,83600,101200,118800,79420,96140,112860
Staff Accountant,G&A,Accounting,JK0269,P4,110000,132000,154000,104500,125400,146300
Principal Accountant,G&A,Accounting,JK0270,P5,145200,171600,198000,137940,163020,188100
Distinguished Accountant,G&A,Accounting,JK0271,P6,176000,211200,246400,167200,200640,234080
Accounting Manager,G&A,Accounting,JK0272,M1,96800,118800,140800,91960,112860,133760
Senior Accounting Manager,G&A,Accounting,JK0273,M2,123200,149600,176000,117040,142120,167200
"Director, Accounting",G&A,Accounting,JK0274,M3,154000,184800,215600,146300,175560,204820
"Senior Director, Accounting",G&A,Accounting,JK0275,M4,184800,228800,272800,175560,217360,259160
"VP, Accounting",G&A,Accounting,JK0276,E1,228800,290400,352000,217360,275880,334400
Associate Growth Marketing Specialist,Marketing,Growth / Demand Gen,JK0277,P1,52800,62400,72000,50160,59280,68400
Growth Marketing Specialist,Marketing,Growth / Demand Gen,JK0278,P2,69120,81600,94080,65664,77520,89376
Senior Growth Marketing Specialist,Marketing,Growth / Demand Gen,JK0279,P3,91200,110400,129600,86640,104880,123120
Staff Growth Marketing Specialist,Marketing,Growth / Demand Gen,JK0280,P4,120000,144000,168000,114000,136800,159600
Principal Growth Marketing Specialist,Marketing,Growth / Demand Gen,JK0281,P5,158400,187200,216000,150480,177840,205200
Distinguished Growth Marketing Specialist,Marketing,Growth / Demand Gen,JK0282,P6,192000,230400,268800,182400,218880,255360
Growth / Demand Gen Manager,Marketing,Growth / Demand Gen,JK0283,M1,105600,129600,153600,100320,123120,145920
Senior Growth / Demand Gen Manager,Marketing,Growth / Demand Gen,JK0284,M2,134400,163200,192000,127680,155040,182400
"Director, Growth / Demand Gen",Marketing,Growth / Demand Gen,JK0285,M3,168000,201600,235200,159600,191520,223440
"Senior Director, Growth / Demand Gen",Marketing,Growth / Demand Gen,JK0286,M4,201600,249600,297600,191520,237120,282720
"VP, Growth / Demand Gen",Marketing,Growth / Demand Gen,JK0287,E1,249600,316800,384000,237120,300960,364800
"SVP, Marketing",Marketing,Growth / Demand Gen,JK0288,E2,297600,374400,451200,282720,355680,428640
Chief Marketing Officer (E3),Marketing,Growth / Demand Gen,JK0289,E3,336000,412800,489600,319200,392160,465120
Chief Marketing Officer,Marketing,Growth / Demand Gen,JK0290,E4,364800,451200,537600,346560,428640,510720
Associate Content Marketing Specialist,Marketing,Content,JK0291,P1,52800,62400,72000,50160,59280,68400
Content Marketing Specialist,Marketing,Content,JK0292,P2,69120,81600,94080,65664,77520,89376
Senior Content Marketing Specialist,Marketing,Content,JK0293,P3,91200,110400,129600,86640,104880,123120
Staff Content Marketing Specialist,Marketing,Content,JK0294,P4,120000,144000,168000,114000,136800,159600
Principal Content Marketing Specialist,Marketing,Content,JK0295,P5,158400,187200,216000,150480,177840,205200
Distinguished Content Marketing Specialist,Marketing,Content,JK0296,P6,192000,230400,268800,182400,218880,255360
Content Manager,Marketing,Content,JK0297,M1,105600,129600,153600,100320,123120,145920
Senior Content Manager,Marketing,Content,JK0298,M2,134400,163200,192000,127680,155040,182400
"Director, Content",Marketing,Content,JK0299,M3,168000,201600,235200,159600,191520,223440
"Senior Director, Content",Marketing,Content,JK0300,M4,201600,249600,297600,191520,237120,282720
"VP, Content",Marketing,Content,JK0301,E1,249600,316800,384000,237120,300960,364800
Associate Product Marketing Specialist,Marketing,Product Marketing,JK0302,P1,52800,62400,72000,50160,59280,68400
Product Marketing Specialist,Marketing,Product Marketing,JK0303,P2,69120,81600,94080,65664,77520,89376
Senior Product Marketing Specialist,Marketing,Product Marketing,JK0304,P3,91200,110400,129600,86640,104880,123120
Staff Product Marketing Specialist,Marketing,Product Marketing,JK0305,P4,120000,144000,168000,114000,136800,159600
Principal Product Marketing Specialist,Marketing,Product Marketing,JK0306,P5,158400,187200,216000,150480,177840,205200
Distinguished Product Marketing Specialist,Marketing,Product Marketing,JK0307,P6,192000,230400,268800,182400,218880,255360
Product Marketing Manager,Marketing,Product Marketing,JK0308,M1,105600,129600,153600,100320,123120,145920
Senior Product Marketing Manager,Marketing,Product Marketing,JK0309,M2,134400,163200,192000,127680,155040,182400
"Director, Product Marketing",Marketing,Product Marketing,JK0310,M3,168000,201600,235200,159600,191520,223440
"Senior Director, Product Marketing",Marketing,Product Marketing,JK0311,M4,201600,249600,297600,191520,237120,282720
"VP, Product Marketing",Marketing,Product Marketing,JK0312,E1,249600,316800,384000,237120,300960,364800
Associate Brand Designer,Marketing,Brand & Creative,JK0313,P1,52800,62400,72000,50160,59280,68400
Brand Designer,Marketing,Brand & Creative,JK0314,P2,69120,81600,94080,65664,77520,89376
Senior Brand Designer,Marketing,Brand & Creative,JK0315,P3,91200,110400,129600,86640,104880,123120
Staff Brand Designer,Marketing,Brand & Creative,JK0316,P4,120000,144000,168000,114000,136800,159600
Principal Brand Designer,Marketing,Brand & Creative,JK0317,P5,158400,187200,216000,150480,177840,205200
Distinguished Brand Designer,Marketing,Brand & Creative,JK0318,P6,192000,230400,268800,182400,218880,255360
Brand & Creative Manager,Marketing,Brand & Creative,JK0319,M1,105600,129600,153600,100320,123120,145920
Senior Brand & Creative Manager,Marketing,Brand & Creative,JK0320,M2,134400,163200,192000,127680,155040,182400
"Director, Brand & Creative",Marketing,Brand & Creative,JK0321,M3,168000,201600,235200,159600,191520,223440
"Senior Director, Brand & Creative",Marketing,Brand & Creative,JK0322,M4,201600,249600,297600,191520,237120,282720
"VP, Brand & Creative",Marketing,Brand & Creative,JK0323,E1,249600,316800,384000,237120,300960,364800
Associate Events Coordinator,Marketing,Events & Comms,JK0324,P1,52800,62400,72000,50160,59280,68400
Events Coordinator,Marketing,Events & Comms,JK0325,P2,69120,81600,94080,65664,77520,89376
Senior Events Coordinator,Marketing,Events & Comms,JK0326,P3,91200,110400,129600,86640,104880,123120
Staff Events Coordinator,Marketing,Events & Comms,JK0327,P4,120000,144000,168000,114000,136800,159600
Principal Events Coordinator,Marketing,Events & Comms,JK0328,P5,158400,187200,216000,150480,177840,205200
Distinguished Events Coordinator,Marketing,Events & Comms,JK0329,P6,192000,230400,268800,182400,218880,255360
Events & Comms Manager,Marketing,Events & Comms,JK0330,M1,105600,129600,153600,100320,123120,145920
Senior Events & Comms Manager,Marketing,Events & Comms,JK0331,M2,134400,163200,192000,127680,155040,182400
"Director, Events & Comms",Marketing,Events & Comms,JK0332,M3,168000,201600,235200,159600,191520,223440
"Senior Director, Events & Comms",Marketing,Events & Comms,JK0333,M4,201600,249600,297600,191520,237120,282720
"VP, Events & Comms",Marketing,Events & Comms,JK0334,E1,249600,316800,384000,237120,300960,364800
Associate Marketing Analyst,Marketing,Growth Analytics,JK0335,P1,52800,62400,72000,50160,59280,68400
Marketing Analyst,Marketing,Growth Analytics,JK0336,P2,69120,81600,94080,65664,77520,89376
Senior Marketing Analyst,Marketing,Growth Analytics,JK0337,P3,91200,110400,129600,86640,104880,123120
Staff Marketing Analyst,Marketing,Growth Analytics,JK0338,P4,120000,144000,168000,114000,136800,159600
Principal Marketing Analyst,Marketing,Growth Analytics,JK0339,P5,158400,187200,216000,150480,177840,205200
Distinguished Marketing Analyst,Marketing,Growth Analytics,JK0340,P6,192000,230400,268800,182400,218880,255360
Growth Analytics Manager,Marketing,Growth Analytics,JK0341,M1,105600,129600,153600,100320,123120,145920
Senior Growth Analytics Manager,Marketing,Growth Analytics,JK0342,M2,134400,163200,192000,127680,155040,182400
"Director, Growth Analytics",Marketing,Growth Analytics,JK0343,M3,168000,201600,235200,159600,191520,223440
"Senior Director, Growth Analytics",Marketing,Growth Analytics,JK0344,M4,201600,249600,297600,191520,237120,282720
"VP, Growth Analytics",Marketing,Growth Analytics,JK0345,E1,249600,316800,384000,237120,300960,364800
Associate Product Manager,Product,Product Management,JK0346,P1,60500,71500,82500,57475,67925,78375
Product Manager,Product,Product Management,JK0347,P2,79200,93500,107800,75240,88825,102410
Senior Product Manager,Product,Product Management,JK0348,P3,104500,126500,148500,99275,120175,141075
Staff Product Manager,Product,Product Management,JK0349,P4,137500,165000,192500,130625,156750,182875
Principal Product Manager,Product,Product Management,JK0350,P5,181500,214500,247500,172425,203775,235125
Distinguished Product Manager,Product,Product Management,JK0351,P6,220000,264000,308000,209000,250800,292600
Product Management Manager,Product,Product Management,JK0352,M1,121000,148500,176000,114950,141075,167200
Senior Product Management Manager,Product,Product Management,JK0353,M2,154000,187000,220000,146300,177650,209000
"Director, Product Management",Product,Product Management,JK0354,M3,192500,231000,269500,182875,219450,256025
"Senior Director, Product Management",Product,Product Management,JK0355,M4,231000,286000,341000,219450,271700,323950
"VP, Product Management",Product,Product Management,JK0356,E1,286000,363000,440000,271700,344850,418000
"SVP, Product",Product,Product Management,JK0357,E2,341000,429000,517000,323950,407550,491150
Chief Product Officer (E3),Product,Product Management,JK0358,E3,385000,473000,561000,365750,449350,532950
Chief Product Officer,Product,Product Management,JK0359,E4,418000,517000,616000,397100,491150,585200
Associate Product Designer,Product,Design,JK0360,P1,60500,71500,82500,57475,67925,78375
Product Designer,Product,Design,JK0361,P2,79200,93500,107800,75240,88825,102410
Senior Product Designer,Product,Design,JK0362,P3,104500,126500,148500,99275,120175,141075
Staff Product Designer,Product,Design,JK0363,P4,137500,165000,192500,130625,156750,182875
Principal Product Designer,Product,Design,JK0364,P5,181500,214500,247500,172425,203775,235125
Distinguished Product Designer,Product,Design,JK0365,P6,220000,264000,308000,209000,250800,292600
Design Manager,Product,Design,JK0366,M1,121000,148500,176000,114950,141075,167200
Senior Design Manager,Product,Design,JK0367,M2,154000,187000,220000,146300,177650,209000
"Director, Design",Product,Design,JK0368,M3,192500,231000,269500,182875,219450,256025
"Senior Director, Design",Product,Design,JK0369,M4,231000,286000,341000,219450,271700,323950
"VP, Design",Product,Design,JK0370,E1,286000,363000,440000,271700,344850,418000
Associate UX Researcher,Product,UX Research,JK0371,P1,60500,71500,82500,57475,67925,78375
UX Researcher,Product,UX Research,JK0372,P2,79200,93500,107800,75240,88825,102410
Senior UX Researcher,Product,UX Research,JK0373,P3,104500,126500,148500,99275,120175,141075
Staff UX Researcher,Product,UX Research,JK0374,P4,137500,165000,192500,130625,156750,182875
Principal UX Researcher,Product,UX Research,JK0375,P5,181500,214500,247500,172425,203775,235125
Distinguished UX Researcher,Product,UX Research,JK0376,P6,220000,264000,308000,209000,250800,292600
UX Research Manager,Product,UX Research,JK0377,M1,121000,148500,176000,114950,141075,167200
Senior UX Research Manager,Product,UX Research,JK0378,M2,154000,187000,220000,146300,177650,209000
"Director, UX Research",Product,UX Research,JK0379,M3,192500,231000,269500,182875,219450,256025
"Senior Director, UX Research",Product,UX Research,JK0380,M4,231000,286000,341000,219450,271700,323950
"VP, UX Research",Product,UX Research,JK0381,E1,286000,363000,440000,271700,344850,418000
Associate Product Analyst,Product,Product Analytics,JK0382,P1,60500,71500,82500,57475,67925,78375
Product Analyst,Product,Product Analytics,JK0383,P2,79200,93500,107800,75240,88825,102410
Senior Product Analyst,Product,Product Analytics,JK0384,P3,104500,126500,148500,99275,120175,141075
Staff Product Analyst,Product,Product Analytics,JK0385,P4,137500,165000,192500,130625,156750,182875
Principal Product Analyst,Product,Product Analytics,JK0386,P5,181500,214500,247500,172425,203775,235125
Distinguished Product Analyst,Product,Product Analytics,JK0387,P6,220000,264000,308000,209000,250800,292600
Product Analytics Manager,Product,Product Analytics,JK0388,M1,121000,148500,176000,114950,141075,167200
Senior Product Analytics Manager,Product,Product Analytics,JK0389,M2,154000,187000,220000,146300,177650,209000
"Director, Product Analytics",Product,Product Analytics,JK0390,M3,192500,231000,269500,182875,219450,256025
"Senior Director, Product Analytics",Product,Product Analytics,JK0391,M4,231000,286000,341000,219450,271700,323950
"VP, Product Analytics",Product,Product Analytics,JK0392,E1,286000,363000,440000,271700,344850,418000
Associate Product Ops Specialist,Product,Product Ops,JK0393,P1,60500,71500,82500,57475,67925,78375
Product Ops Specialist,Product,Product Ops,JK0394,P2,79200,93500,107800,75240,88825,102410
Senior Product Ops Specialist,Product,Product Ops,JK0395,P3,104500,126500,148500,99275,120175,141075
Staff Product Ops Specialist,Product,Product Ops,JK0396,P4,137500,165000,192500,130625,156750,182875
Principal Product Ops Specialist,Product,Product Ops,JK0397,P5,181500,214500,247500,172425,203775,235125
Distinguished Product Ops Specialist,Product,Product Ops,JK0398,P6,220000,264000,308000,209000,250800,292600
Product Ops Manager,Product,Product Ops,JK0399,M1,121000,148500,176000,114950,141075,167200
Senior Product Ops Manager,Product,Product Ops,JK0400,M2,154000,187000,220000,146300,177650,209000
"Director, Product Ops",Product,Product Ops,JK0401,M3,192500,231000,269500,182875,219450,256025
"Senior Director, Product Ops",Product,Product Ops,JK0402,M4,231000,286000,341000,219450,271700,323950
"VP, Product Ops",Product,Product Ops,JK0403,E1,286000,363000,440000,271700,344850,418000
Associate Recruiter,People,Recruiting,JK0404,P1,48400,57200,66000,45980,54340,62700
Recruiter,People,Recruiting,JK0405,P2,63360,74800,86240,60192,71060,81928
Senior Recruiter,People,Recruiting,JK0406,P3,83600,101200,118800,79420,96140,112860
Staff Recruiter,People,Recruiting,JK0407,P4,110000,132000,154000,104500,125400,146300
Principal Recruiter,People,Recruiting,JK0408,P5,145200,171600,198000,137940,163020,188100
Distinguished Recruiter,People,Recruiting,JK0409,P6,176000,211200,246400,167200,200640,234080
Recruiting Manager,People,Recruiting,JK0410,M1,96800,118800,140800,91960,112860,133760
Senior Recruiting Manager,People,Recruiting,JK0411,M2,123200,149600,176000,117040,142120,167200
"Director, Recruiting",People,Recruiting,JK0412,M3,154000,184800,215600,146300,175560,204820
"Senior Director, Recruiting",People,Recruiting,JK0413,M4,184800,228800,272800,175560,217360,259160
"VP, Recruiting",People,Recruiting,JK0414,E1,228800,290400,352000,217360,275880,334400
"SVP, People",People,Recruiting,JK0415,E2,272800,343200,413600,259160,326040,392920
Chief People Officer (E3),People,Recruiting,JK0416,E3,308000,378400,448800,292600,359480,426360
Chief People Officer,People,Recruiting,JK0417,E4,334400,413600,492800,317680,392920,468160
Associate HR Business Partner,People,HRBPs,JK0418,P1,48400,57200,66000,45980,54340,62700
HR Business Partner,People,HRBPs,JK0419,P2,63360,74800,86240,60192,71060,81928
Senior HR Business Partner,People,HRBPs,JK0420,P3,83600,101200,118800,79420,96140,112860
Staff HR Business Partner,People,HRBPs,JK0421,P4,110000,132000,154000,104500,125400,146300
Principal HR Business Partner,People,HRBPs,JK0422,P5,145200,171600,198000,137940,163020,188100
Distinguished HR Business Partner,People,HRBPs,JK0423,P6,176000,211200,246400,167200,200640,234080
HRBPs Manager,People,HRBPs,JK0424,M1,96800,118800,140800,91960,112860,133760
Senior HRBPs Manager,People,HRBPs,JK0425,M2,123200,149600,176000,117040,142120,167200
"Director, HRBPs",People,HRBPs,JK0426,M3,154000,184800,215600,146300,175560,204820
"Senior Director, HRBPs",People,HRBPs,JK0427,M4,184800,228800,272800,175560,217360,259160
"VP, HRBPs",People,HRBPs,JK0428,E1,228800,290400,352000,217360,275880,334400
Associate People Operations Specialist,People,People Ops,JK0429,P1,48400,57200,66000,45980,54340,62700
People Operations Specialist,People,People Ops,JK0430,P2,63360,74800,86240,60192,71060,81928
Senior People Operations Specialist,People,People Ops,JK0431,P3,83600,101200,118800,79420,96140,112860
Staff People Operations Specialist,People,People Ops,JK0432,P4,110000,132000,154000,104500,125400,146300
Principal People Operations Specialist,People,People Ops,JK0433,P5,145200,171600,198000,137940,163020,188100
Distinguished People Operations Specialist,People,People Ops,JK0434,P6,176000,211200,246400,167200,200640,234080
People Ops Manager,People,People Ops,JK0435,M1,96800,118800,140800,91960,112860,133760
Senior People Ops Manager,People,People Ops,JK0436,M2,123200,149600,176000,117040,142120,167200
"Director, People Ops",People,People Ops,JK0437,M3,154000,184800,215600,146300,175560,204820
"Senior Director, People Ops",People,People Ops,JK0438,M4,184800,228800,272800,175560,217360,259160
"VP, People Ops",People,People Ops,JK0439,E1,228800,290400,352000,217360,275880,334400
Associate Learning & Development Specialist,People,L&D,JK0440,P1,48400,57200,66000,45980,54340,62700
Learning & Development Specialist,People,L&D,JK0441,P2,63360,74800,86240,60192,71060,81928
Senior Learning & Development Specialist,People,L&D,JK0442,P3,83600,101200,118800,79420,96140,112860
Staff Learning & Development Specialist,People,L&D,JK0443,P4,110000,132000,154000,104500,125400,146300
Principal Learning & Development Specialist,People,L&D,JK0444,P5,145200,171600,198000,137940,163020,188100
Distinguished Learning & Development Specialist,People,L&D,JK0445,P6,176000,211200,246400,167200,200640,234080
L&D Manager,People,L&D,JK0446,M1,96800,118800,140800,91960,112860,133760
Senior L&D Manager,People,L&D,JK0447,M2,123200,149600,176000,117040,142120,167200
"Director, L&D",People,L&D,JK0448,M3,154000,184800,215600,146300,175560,204820
"Senior Director, L&D",People,L&D,JK0449,M4,184800,228800,272800,175560,217360,259160
"VP, L&D",People,L&D,JK0450,E1,228800,290400,352000,217360,275880,334400
Associate Compensation Analyst,People,Total Rewards,JK0451,P1,48400,57200,66000,45980,54340,62700
Compensation Analyst,People,Total Rewards,JK0452,P2,63360,74800,86240,60192,71060,81928
Senior Compensation Analyst,People,Total Rewards,JK0453,P3,83600,101200,118800,79420,96140,112860
Staff Compensation Analyst,People,Total Rewards,JK0454,P4,110000,132000,154000,104500,125400,146300
Principal Compensation Analyst,People,Total Rewards,JK0455,P5,145200,171600,198000,137940,163020,188100
Distinguished Compensation Analyst,People,Total Rewards,JK0456,P6,176000,211200,246400,167200,200640,234080
Total Rewards Manager,People,Total Rewards,JK0457,M1,96800,118800,140800,91960,112860,133760
Senior Total Rewards Manager,People,Total Rewards,JK0458,M2,123200,149600,176000,117040,142120,167200
"Director, Total Rewards",People,Total Rewards,JK0459,M3,154000,184800,215600,146300,175560,204820
"Senior Director, Total Rewards",People,Total Rewards,JK0460,M4,184800,228800,272800,175560,217360,259160
"VP, Total Rewards",People,Total Rewards,JK0461,E1,228800,290400,352000,217360,275880,334400
Associate DEIB Specialist,People,DEIB,JK0462,P1,48400,57200,66000,45980,54340,62700
DEIB Specialist,People,DEIB,JK0463,P2,63360,74800,86240,60192,71060,81928
Senior DEIB Specialist,People,DEIB,JK0464,P3,83600,101200,118800,79420,96140,112860
Staff DEIB Specialist,People,DEIB,JK0465,P4,110000,132000,154000,104500,125400,146300
Principal DEIB Specialist,People,DEIB,JK0466,P5,145200,171600,198000,137940,163020,188100
Distinguished DEIB Specialist,People,DEIB,JK0467,P6,176000,211200,246400,167200,200640,234080
DEIB Manager,People,DEIB,JK0468,M1,96800,118800,140800,91960,112860,133760
Senior DEIB Manager,People,DEIB,JK0469,M2,123200,149600,176000,117040,142120,167200
"Director, DEIB",People,DEIB,JK0470,M3,154000,184800,215600,146300,175560,204820
"Senior Director, DEIB",People,DEIB,JK0471,M4,184800,228800,272800,175560,217360,259160
"VP, DEIB",People,DEIB,JK0472,E1,228800,290400,352000,217360,275880,334400
Associate Workplace Experience Coordinator,People,Workplace Experience,JK0473,P1,48400,57200,66000,45980,54340,62700
Workplace Experience Coordinator,People,Workplace Experience,JK0474,P2,63360,74800,86240,60192,71060,81928
Senior Workplace Experience Coordinator,People,Workplace Experience,JK0475,P3,83600,101200,118800,79420,96140,112860
Staff Workplace Experience Coordinator,People,Workplace Experience,JK0476,P4,110000,132000,154000,104500,125400,146300
Principal Workplace Experience Coordinator,People,Workplace Experience,JK0477,P5,145200,171600,198000,137940,163020,188100
Distinguished Workplace Experience Coordinator,People,Workplace Experience,JK0478,P6,176000,211200,246400,167200,200640,234080
Workplace Experience Manager,People,Workplace Experience,JK0479,M1,96800,118800,140800,91960,112860,133760
Senior Workplace Experience Manager,People,Workplace Experience,JK0480,M2,123200,149600,176000,117040,142120,167200
"Director, Workplace Experience",People,Workplace Experience,JK0481,M3,154000,184800,215600,146300,175560,204820
"Senior Director, Workplace Experience",People,Workplace Experience,JK0482,M4,184800,228800,272800,175560,217360,259160
"VP, Workplace Experience",People,Workplace Experience,JK0483,E1,228800,290400,352000,217360,275880,334400
"SVP, Data & Analytics",Data & Analytics,Data Engineering,JK0484,E2,341000,429000,517000,323950,407550,491150
Chief Data & Analytics Officer (E3),Data & Analytics,Data Engineering,JK0485,E3,385000,473000,561000,365750,449350,532950
Chief Data & Analytics Officer,Data & Analytics,Data Engineering,JK0486,E4,418000,517000,616000,397100,491150,585200
Associate BI Analyst,Data & Analytics,Business Intelligence,JK0487,P1,60500,71500,82500,57475,67925,78375
BI Analyst,Data & Analytics,Business Intelligence,JK0488,P2,79200,93500,107800,75240,88825,102410
Senior BI Analyst,Data & Analytics,Business Intelligence,JK0489,P3,104500,126500,148500,99275,120175,141075
Staff BI Analyst,Data & Analytics,Business Intelligence,JK0490,P4,137500,165000,192500,130625,156750,182875
Principal BI Analyst,Data & Analytics,Business Intelligence,JK0491,P5,181500,214500,247500,172425,203775,235125
Distinguished BI Analyst,Data & Analytics,Business Intelligence,JK0492,P6,220000,264000,308000,209000,250800,292600
Business Intelligence Manager,Data & Analytics,Business Intelligence,JK0493,M1,121000,148500,176000,114950,141075,167200
Senior Business Intelligence Manager,Data & Analytics,Business Intelligence,JK0494,M2,154000,187000,220000,146300,177650,209000
"Director, Business Intelligence",Data & Analytics,Business Intelligence,JK0495,M3,192500,231000,269500,182875,219450,256025
"Senior Director, Business Intelligence",Data & Analytics,Business Intelligence,JK0496,M4,231000,286000,341000,219450,271700,323950
"VP, Business Intelligence",Data & Analytics,Business Intelligence,JK0497,E1,286000,363000,440000,271700,344850,418000
Associate Data Scientist,Data & Analytics,Data Science,JK0498,P1,60500,71500,82500,57475,67925,78375
Data Scientist,Data & Analytics,Data Science,JK0499,P2,79200,93500,107800,75240,88825,102410
Senior Data Scientist,Data & Analytics,Data Science,JK0500,P3,104500,126500,148500,99275,120175,141075
Staff Data Scientist,Data & Analytics,Data Science,JK0501,P4,137500,165000,192500,130625,156750,182875
Principal Data Scientist,Data & Analytics,Data Science,JK0502,P5,181500,214500,247500,172425,203775,235125
Distinguished Data Scientist,Data & Analytics,Data Science,JK0503,P6,220000,264000,308000,209000,250800,292600
Data Science Manager,Data & Analytics,Data Science,JK0504,M1,121000,148500,176000,114950,141075,167200
Senior Data Science Manager,Data & Analytics,Data Science,JK0505,M2,154000,187000,220000,146300,177650,209000
"Director, Data Science",Data & Analytics,Data Science,JK0506,M3,192500,231000,269500,182875,219450,256025
"Senior Director, Data Science",Data & Analytics,Data Science,JK0507,M4,231000,286000,341000,219450,271700,323950
"VP, Data Science",Data & Analytics,Data Science,JK0508,E1,286000,363000,440000,271700,344850,418000
Associate Strategy & Operations Analyst,Executive,Office of CEO,JK0509,P1,60500,71500,82500,57475,67925,78375
Strategy & Operations Analyst,Executive,Office of CEO,JK0510,P2,79200,93500,107800,75240,88825,102410
Senior Strategy & Operations Analyst,Executive,Office of CEO,JK0511,P3,104500,126500,148500,99275,120175,141075
Staff Strategy & Operations Analyst,Executive,Office of CEO,JK0512,P4,137500,165000,192500,130625,156750,182875
Principal Strategy & Operations Analyst,Executive,Office of CEO,JK0513,P5,181500,214500,247500,172425,203775,235125
Distinguished Strategy & Operations Analyst,Executive,Office of CEO,JK0514,P6,220000,264000,308000,209000,250800,292600
Office of CEO Manager,Executive,Office of CEO,JK0515,M1,121000,148500,176000,114950,141075,167200
Senior Office of CEO Manager,Executive,Office of CEO,JK0516,M2,154000,187000,220000,146300,177650,209000
"Director, Office of CEO",Executive,Office of CEO,JK0517,M3,192500,231000,269500,182875,219450,256025
"Senior Director, Office of CEO",Executive,Office of CEO,JK0518,M4,231000,286000,341000,219450,271700,323950
"VP, Office of CEO",Executive,Office of CEO,JK0519,E1,286000,363000,440000,271700,344850,418000
"SVP, Executive",Executive,Office of CEO,JK0520,E2,341000,429000,517000,323950,407550,491150
Chief Executive Officer (E3),Executive,Office of CEO,JK0521,E3,385000,473000,561000,365750,449350,532950
Chief Executive Officer,Executive,Office of CEO,JK0522,E4,418000,517000,616000,397100,491150,585200
President,Executive,Office of CEO,JK0523,E5,462000,550000,638000,438900,522500,606100
